longitud,latitud,Enotourism,valoracion,n_valoraciones,esta_trip,total_visits_similar,Antiguedad.empresa,Tamaño,Productividad,Rentabilidad
-6.44662,38.52736,1,,,0,3000.0,14,5.65862762631604,-2.42526073045982,0.414295088035381
-5.5460543,38.7252427,0,,,0,1600.0,12,-1.61166236702292,-1.19896585540298,0.604215399435991
-6.93541,38.8821,0,,,0,746.0,11,-0.83420196031364,-0.451664071711382,0.218170891738684
-5.60145,38.64971,0,,,0,,11,-1.17703477126499,-0.151516488549271,0.533011833368312
-6.40491,38.69108,0,4.5,36.0,0,2400.0,11,1.73556016280286,1.87394659488284,-0.907170078448416
2.5472369,39.52718195,1,,,0,5000.0,58,0.611333700527573,-1.33243142219293,0.263114085380332
2.77583,39.65327,1,4.7,385.0,1,10600.0,26,2.70361416247431,-2.62974588293269,0.510221724459658
2.8445,39.68547,1,4.6,79.0,1,3000.0,33,-1.17582946010542,0.209694881607588,-0.149163313778271
3.21468,39.56855,0,,,0,1100.0,29,-0.79479907843653,-1.34897236169171,0.117942179814011
2.8139355,39.6687019,1,,,0,,26,-0.39027902425226,-0.280594020021438,-0.187387268395215
1.66960999,41.3606713,0,4.9,1030.0,1,29500.0,89,2.63646263322855,-0.0822794420064467,-0.392544985021494
1.72755392,41.42170164,1,4.7,131.0,0,1900.0,47,-0.924286712632993,-0.442030919527513,0.445510828596953
2.06642,41.36599,1,4.4,11.0,0,2100.0,43,1.09721841839248,1.18139087311713,0.377192789724783
1.7964459,41.3813711,1,4.2,164.0,1,1800.0,41,5.01847425691841,-1.3275153546452,0.0656074424005537
-3.697295,41.777974,0,4.2,5.0,0,,42,0.0298724329126427,0.768497301879968,0.898916600720393
-3.6839693,41.67254739,1,,,0,9400.0,38,2.97314890331069,-0.887185826372809,0.671853478443012
-3.68924298,41.6715507,1,4.8,100.0,0,6900.0,34,0.699564447158512,0.142522811603067,0.0890044208018242
-3.87536,41.73963,1,4.9,67.0,0,4700.0,33,3.13386300957554,2.79051181527457,-0.0539117898544124
-3.98777,41.71303,0,4.8,21.0,0,,33,-1.02844362563786,0.0704703350904453,0.184484802041405
-3.8238304,41.77796016,1,4.8,110.0,0,5000.0,32,-0.0716089805903872,0.697777826945354,0.0800073520364571
